call_id,original_audio_file,source,duration_seconds,total_words,agent_words,customer_words,other_words,agent_talk_time_seconds,customer_talk_time_seconds,other_talk_time_seconds,talk_ratio_agent,num_speakers,has_other_speaker,roles_detected,num_utterances,mean_confidence
humano_24,693045ed-afc8-4c9c-9eee-f7e34281fb16.wav,humano,177.64,376,225,151,0,78.85,49.51,0.0,0.4439,2,False,"Agente, Cliente",49,0.847
humano_25,6bbff5d5-7d85-4587-94d9-4e44d4e4055b.wav,humano,294.54,687,637,50,0,206.07,19.44,0.0,0.6996,2,False,"Agente, Cliente",71,0.9529
humano_26,73ddf5ba-7005-41a6-88b5-be98fb909764.wav,humano,145.24,285,194,91,0,64.47,27.52,0.0,0.4439,2,False,"Agente, Cliente",37,0.9345
humano_27,74aa7e2d-4d44-45cc-a3e5-97fb9383a960.wav,humano,118.26,242,242,0,0,88.12,0.0,0.0,0.7452,1,False,Agente,31,0.9644
humano_28,74b16f62-f04d-42c8-9872-ea9b9ed1dd75.wav,humano,643.48,1616,1122,494,0,383.76,152.46,0.0,0.5964,2,False,"Agente, Cliente",135,0.9072
humano_29,77d258d0-9b2e-4086-b624-f280eed0957b.wav,humano,283.16,699,433,257,9,146.24,74.39,3.68,0.5164,3,True,"Agente, Cliente, Otro",72,0.9235
humano_30,7ea6c8f3-f6f7-42e8-8034-701caa6e62aa.wav,humano,129.88,289,183,106,0,50.33,31.85,0.0,0.3876,2,False,"Agente, Cliente",29,0.925
humano_31,82ee7afd-e2d3-4cfe-b82e-f7920f57f7ab.wav,humano,186.02,374,219,155,0,84.67,52.08,0.0,0.4552,2,False,"Agente, Cliente",44,0.9143
humano_32,91b9fd77-d5d5-408f-ac90-fd78080780da.wav,humano,81.64,181,112,69,0,33.01,22.72,0.0,0.4043,2,False,"Agente, Cliente",14,0.9221
humano_33,92778da9-c37a-4eee-9ca5-81f835e7c5a4.wav,humano,176.56,448,142,306,0,47.93,88.95,0.0,0.2715,2,False,"Agente, Cliente",37,0.949
humano_34,93d0abfc-ece6-488b-bee8-950abb980520.wav,humano,175.46,299,197,102,0,78.97,42.51,0.0,0.4501,2,False,"Agente, Cliente",49,0.9148
humano_35,9919c667-3ebe-4e77-98a6-58623c85f678.wav,humano,152.86,389,281,108,0,79.96,33.6,0.0,0.5231,2,False,"Agente, Cliente",31,0.9316
humano_36,a3383d00-b984-4cb8-845b-77e19c520ffd.wav,humano,135.16,296,202,94,0,60.12,34.3,0.0,0.4448,2,False,"Agente, Cliente",29,0.9495
humano_37,ab2ac983-c562-4f79-a570-ee22de052d88.wav,humano,350.68,771,573,198,0,197.54,75.58,0.0,0.5633,2,False,"Agente, Cliente",90,0.8918
humano_38,ae0573ba-193e-42ac-bcc8-4c376a122f8e.wav,humano,308.64,723,411,312,0,127.31,97.24,0.0,0.4125,2,False,"Agente, Cliente",73,0.9107
humano_39,b7318057-111f-4bd0-adbc-943bd06ce4e0.wav,humano,285.6,585,469,116,0,161.83,42.64,0.0,0.5666,2,False,"Agente, Cliente",63,0.9471
humano_40,b954108b-c0c2-45e8-9032-1a3e87d60778.wav,humano,105.46,191,127,64,0,49.2,22.24,0.0,0.4665,2,False,"Agente, Cliente",32,0.9016
humano_41,c067f714-3f61-478d-90da-b366c1f4da54.wav,humano,88.44,221,128,93,0,34.96,33.24,0.0,0.3953,2,False,"Agente, Cliente",21,0.9083
humano_42,c5d3d94f-8e64-459a-9794-509fc000611a.wav,humano,109.82,115,58,57,0,19.2,16.88,0.0,0.1748,2,False,"Agente, Cliente",12,0.9386
humano_43,ce33bc23-16ba-43ec-afc5-9eac1cf0bf98.wav,humano,1233.2,2734,1994,740,0,707.98,265.82,0.0,0.5741,2,False,"Agente, Cliente",341,0.8775
humano_44,d741fe26-bbd4-41ab-a3c5-0c94791c6a1f.wav,humano,304.24,726,612,114,0,196.61,38.64,0.0,0.6462,2,False,"Agente, Cliente",63,0.9369
humano_45,e76a6feb-b941-4dfc-aebf-4288c13c539c.wav,humano,208.44,407,298,109,0,100.06,36.0,0.0,0.48,2,False,"Agente, Cliente",60,0.9044
humano_46,e7d964af-28a2-47e1-8fa2-dcab580267c0.wav,humano,126.5,264,201,63,0,64.46,17.05,0.0,0.5096,2,False,"Agente, Cliente",29,0.9381
humano_47,e98181dc-2d7b-41ea-9524-59c721651a39.wav,humano,152.4,336,293,43,0,94.32,15.28,0.0,0.6189,2,False,"Agente, Cliente",50,0.911
humano_48,eaaa5092-71c6-47ba-8c34-9fa95854812a.wav,humano,209.58,403,320,83,0,110.68,25.68,0.0,0.5281,2,False,"Agente, Cliente",46,0.9505
humano_49,f613df46-85a0-46bd-a148-7826aac2451c.wav,humano,276.52,635,523,112,0,178.61,34.65,0.0,0.6459,2,False,"Agente, Cliente",78,0.891
humano_50,f75a5ac6-d705-47f3-9ab1-f9e7aad6eab6.wav,humano,141.12,345,226,119,0,69.92,35.33,0.0,0.4955,2,False,"Agente, Cliente",35,0.89
ia_01,07c816c7-cb2b-4178-ab85-e501f1c38bd9.wav,ia,141.92,323,290,33,0,83.24,13.84,0.0,0.5865,2,False,"Agente, Cliente",33,0.9443
ia_02,0aef8aeb-0086-4f38-b53d-a771fc949c2b.wav,ia,83.4,163,142,12,9,47.93,5.2,3.92,0.5748,3,True,"Agente, Cliente, Otro",26,0.9551
ia_03,12fb0266-c7af-4439-b62b-e9ce0c2e947f.wav,ia,472.48,911,517,394,0,171.74,157.51,0.0,0.3635,2,False,"Agente, Cliente",128,0.9425
ia_04,19b3eddf-e2d6-4b68-befc-bdb10a10719a.wav,ia,92.1,182,13,155,14,4.48,46.12,6.72,0.0486,3,True,"Agente, Cliente, Otro",20,0.9521
ia_05,1a132947-7135-429f-ba15-825ac02ba601.wav,ia,434.46,844,588,256,0,201.51,89.64,0.0,0.4638,2,False,"Agente, Cliente",111,0.9447
ia_06,239a604a-3b58-445a-bfb4-88113ba4f232.wav,ia,67.16,143,83,60,0,24.72,11.28,0.0,0.3681,2,False,"Agente, Cliente",17,0.9641
ia_07,293e667b-63e6-43e4-a811-06249526467a.wav,ia,90.82,174,120,54,0,42.63,21.92,0.0,0.4694,2,False,"Agente, Cliente",26,0.9299
ia_08,3056dcb7-265d-42d8-a3c6-8bb2200860de.wav,ia,222.88,384,377,7,0,127.68,2.64,0.0,0.5729,2,False,"Agente, Cliente",60,0.9486
ia_09,3147bab7-9e7f-496d-ae97-52b280194924.wav,ia,201.42,574,89,485,0,27.44,138.31,0.0,0.1362,2,False,"Agente, Cliente",35,0.9379
ia_10,32616618-6ce3-484f-a1d9-c014394a3492.wav,ia,66.6,84,84,0,0,29.52,0.0,0.0,0.4432,1,False,Agente,15,0.9106
ia_11,3350acd3-f649-47c8-adf6-ce1c08312d8f.wav,ia,185.06,318,246,59,13,83.47,23.33,4.4,0.451,4,True,"Agente, Cliente, Otro",45,0.9252
ia_12,355812a5-2733-46fb-a2d3-5b388817fef4.wav,ia,295.56,385,385,0,0,130.07,0.0,0.0,0.4401,1,False,Agente,46,0.9684
ia_13,3a02fcc2-2285-4d18-9fca-d8507ee15b7f.wav,ia,314.22,709,600,109,0,183.35,36.15,0.0,0.5835,2,False,"Agente, Cliente",74,0.9479
ia_14,3df056d8-c16b-4665-bc8b-4c1456ed8592.wav,ia,107.28,241,220,21,0,65.26,8.56,0.0,0.6083,2,False,"Agente, Cliente",32,0.9326
ia_15,3e8b2986-1ff4-4f4a-9554-c8b122601a03.wav,ia,156.08,237,237,0,0,82.78,0.0,0.0,0.5304,1,False,Agente,30,0.9496
ia_16,41269351-a58b-42bf-8486-151c5aa3a4e2.wav,ia,100.36,141,0,0,141,0.0,0.0,46.64,0.0,2,True,Otro,12,0.9854
ia_17,449d76a1-4755-4f78-afa8-00d57922d108.wav,ia,439.72,912,708,204,0,218.71,77.06,0.0,0.4974,2,False,"Agente, Cliente",98,0.9408
ia_18,589afa5a-4b51-4018-a4e8-e219fdf3548f.wav,ia,104.5,296,216,70,10,62.02,18.33,4.4,0.5935,3,True,"Agente, Cliente, Otro",23,0.9318
ia_19,5a16e288-5bc6-45a0-845b-8034f62ce376.wav,ia,297.66,698,270,418,10,90.73,99.86,4.08,0.3048,3,True,"Agente, Cliente, Otro",58,0.9335
ia_20,631a4d16-0c07-4215-9476-ff9c8179413a.wav,ia,239.38,242,242,0,0,72.05,0.0,0.0,0.301,1,False,Agente,40,0.803
ia_21,64a627ae-0339-4595-a414-21ed0c641d16.wav,ia,99.42,147,96,0,51,32.28,0.0,21.17,0.3246,2,True,"Agente, Otro",14,0.9831
ia_22,66c23ff9-4946-4870-8e67-850dac6526ef.wav,ia,94.36,191,191,0,0,64.41,0.0,0.0,0.6827,1,False,Agente,28,0.9557
ia_23,673f40d5-c6de-4cec-8c52-ad89b8382f38.wav,ia,344.7,797,552,245,0,172.29,86.23,0.0,0.4998,2,False,"Agente, Cliente",74,0.9703
ia_24,6d1ee3b1-3436-47ec-9754-f4b7f4048889.wav,ia,403.36,1024,870,154,0,256.49,46.64,0.0,0.6359,2,False,"Agente, Cliente",71,0.9439
ia_25,6d26bb76-d3ae-4890-83df-f5dcb0ef339d.wav,ia,454.06,1298,742,556,0,204.73,158.98,0.0,0.4509,2,False,"Agente, Cliente",79,0.9473
ia_26,6d8d8dbe-b501-4303-b864-9dc24119df5c.wav,ia,112.82,178,178,0,0,58.36,0.0,0.0,0.5173,1,False,Agente,25,0.9041
ia_27,7350b21e-cea7-4a3d-9603-9ec53b47843e.wav,ia,68.58,83,83,0,0,31.36,0.0,0.0,0.4573,1,False,Agente,19,0.9422
ia_28,79c5d6ae-0a3b-4b2a-8771-882e2b02cf95.wav,ia,561.58,1369,747,622,0,224.73,194.27,0.0,0.4002,2,False,"Agente, Cliente",112,0.9316
ia_29,7a59be10-fc3c-423b-8619-a13aac8ffea3.wav,ia,60.32,66,66,0,0,21.54,0.0,0.0,0.357,1,False,Agente,11,0.9535
ia_30,7c826b7f-a4cb-44ce-9461-533e1368ce1d.wav,ia,320.04,617,512,105,0,183.9,36.24,0.0,0.5746,2,False,"Agente, Cliente",73,0.952
ia_31,7dc52408-8aff-4ac6-bf04-620f378132fe.wav,ia,118.68,157,157,0,0,51.64,0.0,0.0,0.4352,1,False,Agente,20,0.9508
ia_32,7df4a150-5c74-4f8a-9b13-88635ce35f92.wav,ia,131.1,284,284,0,0,89.51,0.0,0.0,0.6828,1,False,Agente,34,0.9692
ia_33,80b9d804-dfe9-444f-aee1-30688b5c4e09.wav,ia,87.52,180,180,0,0,59.36,0.0,0.0,0.6782,1,False,Agente,24,0.896
ia_34,8349b881-cc05-44b6-a5d6-a340bc7e3499.wav,ia,90.7,171,86,85,0,27.79,27.04,0.0,0.3064,2,False,"Agente, Cliente",21,0.9531
ia_35,8d9dfa93-e293-4924-92ce-2b166805d181.wav,ia,272.22,575,457,118,0,142.66,38.04,0.0,0.524,2,False,"Agente, Cliente",64,0.9398
ia_36,8eeab89a-aca1-4182-98cd-787defaa3876.wav,ia,88.0,164,41,123,0,14.4,40.14,0.0,0.1636,2,False,"Agente, Cliente",23,0.9346
ia_37,925483e1-0626-4e64-89e7-fdd8091916ce.wav,ia,533.7,1337,724,612,1,221.21,170.92,0.56,0.4145,3,True,"Agente, Cliente, Otro",108,0.9222
ia_38,9cf48045-df44-4648-b6ad-870d3c145615.wav,ia,255.54,595,171,424,0,61.83,130.29,0.0,0.2419,2,False,"Agente, Cliente",60,0.9261
ia_39,a64feaf9-108a-491e-90f8-013a7c3b2e3d.wav,ia,485.0,1108,654,443,11,208.28,136.18,5.36,0.4294,3,True,"Agente, Cliente, Otro",97,0.958
ia_40,b056678f-9281-47ab-819d-616ba1c7904a.wav,ia,99.86,138,73,0,65,22.89,0.0,25.78,0.2293,2,True,"Agente, Otro",12,0.9639
ia_41,b1584952-7de1-4cc6-a83a-9fffa0f747cb.wav,ia,104.52,222,222,0,0,71.22,0.0,0.0,0.6814,1,False,Agente,25,0.9719
ia_42,b97bdab1-7884-48dd-8acd-0d8b7b513c67.wav,ia,114.26,213,127,86,0,40.66,28.15,0.0,0.3558,2,False,"Agente, Cliente",29,0.8786
ia_43,bdc7c768-e08e-4ce8-9e8e-ebb3618d311f.wav,ia,263.72,545,412,133,0,118.04,44.81,0.0,0.4476,2,False,"Agente, Cliente",58,0.9587
ia_44,c1a958de-6df6-488a-8342-3cc44f4e31c6.wav,ia,166.04,331,254,77,0,79.76,24.8,0.0,0.4804,2,False,"Agente, Cliente",38,0.9523
ia_45,c3d816dd-e0cc-46ef-b2db-a7d31a0bd587.wav,ia,68.08,68,68,0,0,26.04,0.0,0.0,0.3826,1,False,Agente,16,0.9386
ia_46,c8b57e01-57b6-4d85-9613-c786aef9f8a0.wav,ia,313.66,640,556,84,0,185.82,38.71,0.0,0.5924,2,False,"Agente, Cliente",70,0.9531
ia_47,da02116f-5f55-4cc7-a800-373f4939fa01.wav,ia,461.22,756,236,520,0,85.04,169.78,0.0,0.1844,2,False,"Agente, Cliente",117,0.9449
ia_48,edbc4154-c6ce-4a77-b899-caf949e1815a.wav,ia,107.4,95,95,0,0,31.28,0.0,0.0,0.2912,1,False,Agente,12,0.9631
ia_49,f55b661d-8a1b-4528-976e-d7b2f565b2ea.wav,ia,486.06,1299,650,642,7,206.5,187.27,2.32,0.4248,3,True,"Agente, Cliente, Otro",93,0.9313
ia_50,fc9da4d5-10dd-4aab-afb0-de918f081149.wav,ia,85.22,124,124,0,0,38.24,0.0,0.0,0.4487,1,False,Agente,21,0.8891
